0 torch.Size([1, 25, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 25, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 25, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 25, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 26, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 26, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 26, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 26, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 27, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 27, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 27, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 27, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 28, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 28, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 28, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 28, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 29, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 29, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 29, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 29, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 30, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 30, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 30, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 30, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 31, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 31, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 31, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 31, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 32, 128]) tensor([0.2535, 0.0151, 0.0813])
